Method,TSP-5,TSP-10,TSP-20,TSP-50
Concorde,1.7089990433305503e-06,2.0549970213323833e-06,3.062996547669172e-06,3.0529999639838934e-06
Christofides,0.0011369109991937875,0.0024252099997829645,0.007774975998327136,0.0408526619989425
OR-Tools,0.0025552129931747914,0.004940431993454695,0.018465022002346815,0.11395230799913407
Simulated Annealing,1.4990009367465973e-06,1.7539993859827518e-06,2.9280013404786587e-06,2.273004502058029e-06
